hipotese,relacao,evidencia,peso,justificativa
H-05,apoia,EV-0967-10,0.35,"O tesouro encontrado na ilha final tinha sido deixado ali por Joy Boy oitocentos anos antes: o que existe na ilha foi deixado por alguém, com oitocentos anos entre quem deixa e quem encontra, que é a forma de um legado endereçado ao futuro."
H-05,apoia,EV-0966-08,0.25,"Foi Oden quem gravou, na escrita antiga, a mensagem que Roger ditou junto ao Poneglyph do sino de ouro de Shandora, registrando que estivera ali: Roger repetiu o gesto de deixar mensagem gravada para quem viesse depois, que é a forma do legado dirigido atribuída a Joy Boy."
H-05,contradiz,EV-1085-03,0.35,"O ato de Lili de espalhar os Poneglyphs pelo mundo é tido como o que influenciou piratas a persegui-los em busca de tesouro: a rede de pistas que leva ao tesouro é acidente de outra pessoa, não endereçamento de Joy Boy."
H-05,contradiz,EV-0576-01,0.25,"Barba Branca declarou que achar o One Piece desencadeará uma guerra indizível que engolfará o mundo inteiro, efeito difícil de derivar de um recado por mais importante que seja."
H-05,contradiz,EV-1188-01,0.15,"Imu diz a Luffy que ele não é Joy Boy porque Joy Boy era muito mais forte, sugerindo que o que importa na sucessão é capacidade de combate e não a leitura de um legado."
H-05,contradiz,EV-0649-04,0.3,"Neptune afirma que não conhece os detalhes da promessa e que sabe apenas, por lenda transmitida na família real, que um dia alguém viria cumprir em lugar de Joy Boy o que ele prometeu: se as condições se perderam na própria contraparte, o que ele legou não foi um conjunto de condições transmissíveis."
H-05,contradiz,EV-0632-01,0.15,"Vander Decken IX afirma que há muito tempo o povo da Ilha dos Homens-Peixe construiu o navio gigante Noah: o meio material da promessa é obra de terceiros, e não parte do que Joy Boy deixou."
H-05,contradiz,EV-0395-10,0.25,"Clover afirma que o povo do reino antigo, ao saber que seria derrotado, gravou os poneglyphs para que o mundo soubesse o que havia acontecido: o destinatário declarado é o mundo inteiro, e não a pessoa esperada que este enunciado exige."
H-05,contradiz,EV-0301-06,0.2,"A tábua de pedra que Robin encontrou no Upper Yard diz que diante do cerne da verdade não há necessidade de palavras e que seus autores são os registradores da história: quem gravou se apresenta como registrador e nega que palavras sejam necessárias, o oposto de um legado feito de palavras e de um pedido."
H-06,apoia,EV-0650-01,0.35,"As três armas ancestrais têm nome de divindades e não se limitam a objetos inanimados, incluindo seres vivos, o que permite que Uranus seja qualquer coisa guardada em Laugh Tale."
H-06,apoia,EV-0967-02,0.3,"Joy Boy deixou Poneglyphs descrevendo o paradeiro das armas ancestrais, ligando a rede de Poneglyphs que leva a Laugh Tale ao tema das armas."
H-06,apoia,EV-1116-01,0.25,"Joy Boy teve papel na preservação das três armas ancestrais para que gerações futuras pudessem acessá-las e usá-las, o que torna coerente que tenha guardado a terceira no fim da rota."
H-06,apoia,EV-0648-07,0.15,"Ao ver a filha conversando com os Reis do Mar, Neptune declara que despertou o poder capaz de destruir o mundo: a obra trata uma arma ancestral como poder real de escala mundial, premissa de que esta hipótese precisa para valer a pena guardar a terceira."
H-06,apoia,EV-0626-02,0.15,"Otohime diz que o mesmo poder da princesa sereia, se usado com intenção sinistra, pode causar grande destruição: confirma que uma arma ancestral é capaz de destruição em escala, o que mantém de pé o motivo para esconder a terceira no fim da rota."
H-06,apoia,EV-0394-04,0.2,"Spandine acusa os estudiosos de Ohara de terem como objetivo despertar as armas ancestrais: a acusação oficial liga a rede de poneglyphs ao despertar das armas, que é a ponte de que esta hipótese precisa."
H-06,apoia,EV-0395-11,0.25,"Os Cinco Anciãos afirmam que a continuidade da pesquisa acabará revivendo as armas ancestrais, mesmo que os estudiosos não tenham essa intenção: a própria cúpula declara que seguir os poneglyphs até o fim termina numa arma."
H-06,contradiz,EV-1089-01,0.55,"York roubou uma amostra da Mother Flame e a enviou aos Cinco Anciãos e a Imu, que a usaram para energizar uma arma ancestral: se o Governo já opera uma das armas, ela não está esperando em Laugh Tale."
H-06,contradiz,EV-1053-01,0.3,"Pluton repousa numa caverna secreta ao pé do Monte Fuji submerso na antiga Wano, abaixo do Road Poneglyph do país: o padrão da obra é guardar cada arma longe do fim da rota, não nele."
H-06,contradiz,EV-0649-02,0.3,"Shirahoshi herdou o título de Poseidon, poder que aparece numa princesa sereia a cada vários séculos, o que reforça o mesmo padrão: as armas estão espalhadas e vivas no mundo, não guardadas no fim da Grand Line."
H-06,contradiz,EV-1086-01,0.25,"Dragon estranha que o Governo só agora tenha usado uma arma capaz de apagar o Reino de Lulusia em segundos, o que reforça que a arma faltante já estava em mãos do Governo."
H-06,contradiz,EV-0625-01,0.2,"Aos seis anos, ao gritar de medo quando um Dragão Celestial aponta a arma para sua mãe, Shirahoshi emite ondas de sonar e cinco Reis do Mar surgem: uma arma ancestral se manifesta sozinha numa criança, o oposto de estar guardada no fim da Grand Line."
H-06,contradiz,EV-0625-02,0.2,"Vander Decken IX recorda que a lenda de uma princesa sereia capaz de convocar Reis do Mar levou o primeiro Vander Decken ao fundo do mar, e que a história foi passada aos descendentes: o paradeiro de uma arma ancestral circula como lenda hereditária, e não está selado no fim da rota."
H-06,contradiz,EV-0626-03,0.15,"Otohime pede aos três filhos que protejam Shirahoshi com a própria vida quando a hora chegar, e Fukaboshi jura cumprir essa promessa à mãe moribunda: a custódia de uma arma ancestral é dever de família numa ilha do meio do mundo, não depósito no fim da Grand Line."
H-06,contradiz,EV-0649-06,0.3,"Robin conta que o poneglyph que leu em Skypiea dois anos antes dava a localização de uma das armas ancestrais e dizia que ela estava na Ilha dos Homens-Peixe: quando a obra usa um poneglyph para apontar uma arma, o lugar apontado não é o fim da rota."
H-06,contradiz,EV-0967-05,0.45,"Rayleigh garantiu a Netuno que a tripulação de Roger não estava atrás da arma ancestral, e sim do tesouro de quem criou a arma: a obra separa explicitamente o tesouro buscado da arma ancestral, que é justamente a identificação de que esta hipótese precisa."
H-06,contradiz,EV-1056-02,0.3,"Perguntado por Robin se quer obter Pluton, Luffy recusa, dizendo que não precisa dela: o protagonista dispensa em cena uma arma ancestral, o que torna incoerente que o objetivo declarado da viagem dele seja outra arma."
H-06,contradiz,EV-0967-06,0.25,"A arma ancestral Poseidon não estava na Ilha dos Homens-Peixe quando a tripulação de Roger chegou, apesar de o Poneglyph de Skypiea indicar que ela estaria lá: as armas ancestrais são procuradas onde os Poneglyphs apontam, e o lugar apontado não é o fim da rota."
H-06,contradiz,EV-1053-04,0.2,"Sukiyaki confirma a Robin que Pluton está de fato em Wano: mais uma arma ancestral confirmada em cena num país do meio do mundo, o que reforça que o depósito das armas não é o fim da Grand Line."
H-07,apoia,EV-1115-01,0.4,"Vegapunk conclui que o uso das armas ancestrais elevou o nível do mar em 200 metros e que as ilhas de hoje são os topos dos continentes submersos, o que coloca um mundo inteiro escondido debaixo da água."
H-07,apoia,EV-1065-01,0.25,"Vegapunk teoriza que o Reino Antigo era uma civilização tecnologicamente muito mais avançada, e uma civilização inteira preservada seria de fato o maior tesouro do mundo."
H-07,apoia,EV-1055-02,0.3,"Abaixo do castelo, atrás de uma janela de vidro, há uma cidade inteira submersa e preservada, que Sukiyaki identifica como a Wano de 800 anos atrás: a obra mostra em cena que uma cidade inteira pode ficar submersa e preservada desde o Século Perdido, que é o mecanismo que esta hipótese precisava ter."
H-07,apoia,EV-1055-03,0.15,"Sukiyaki declara não saber como a antiga Wano acabou submersa: quem custodia a cidade submersa não tem explicação para o afundamento, o que mantém disponível a inundação do Século Perdido como causa."
H-07,contradiz,EV-1125-03,0.4,"Escravos constroem há 700 anos as megaestruturas Tequila Wolf, Vodka Wolf, Rum Wolf e Bourbon Wolf por encomenda dos Nobres Mundiais: o Governo se prepara para o mar SUBIR mais, não para ele baixar."
H-07,contradiz,EV-0301-01,0.3,"Diz-se que ao chegar a Laugh Tale levando as passagens dos Poneglyphs o Rio Poneglyph será revelado: o que a obra promete na ilha é um texto, não um continente."
H-07,contradiz,EV-0972-02,0.3,"Os Piratas de Roger leram a mensagem e decidiram deixar tudo como estava por terem chegado cedo demais, o que é estranho se o que estivesse lá fosse uma cidade inteira já visível."
H-07,contradiz,EV-1190-03,0.25,"Gaban diz conhecer as palavras de Joy Boy e não pretender segui-las: o que se traz de Laugh Tale são palavras, e não se traz um território."
H-07,contradiz,EV-0395-08,0.25,"Clover afirma que, antes de o Governo Mundial existir, o mundo era regido por um reino imenso, e que esse reino foi exterminado por um grupo que veio a se tornar o Governo Mundial: exterminado é o verbo do discurso, o oposto de um reino preservado à espera de reaparecer."
H-07,contradiz,EV-1055-04,0.3,"Sukiyaki propõe que a antiga Wano ficava ao nível do mar na base do Monte Fuji e afundou porque as muralhas erguidas na fronteira impediram a água da chuva de escoar: o único afundamento explicado na obra tem causa local e doméstica, e não a inundação global de que esta hipótese depende."
H-08,apoia,EV-1190-01,0.4,"Gaban afirma que a insistência de Imu em matar Luffy prova o que Roger disse sobre terem chegado cedo demais e que Luffy é a pessoa que eles esperavam: a condição que faltava era uma pessoa, não um objeto."
H-08,apoia,EV-0968-01,0.4,"Roger e Oden ouviram os Reis do Mar falarem do nascimento, dali a 25 anos, de alguém que os lideraria junto com a nova Poseidon, o que dá data e destinatário ao cedo demais."
H-08,apoia,EV-0968-02,0.35,"Ao saber que tinham chegado cedo demais, Roger planejou gerar um filho que encontrasse o One Piece depois dele: a resposta dele à restrição foi produzir uma pessoa, o que só faz sentido se a condição pendente for pessoal e datada."
H-08,apoia,EV-1138-03,0.3,"No texto do Terceiro Mundo do Harley o deus do sol dança e ri guiando o mundo ao seu fim, o sol retorna trazendo uma nova manhã e dessa vez eles certamente se encontrarão: a profecia descreve um evento datado, não um objeto."
H-08,apoia,EV-1172-01,0.3,"Jarul afirma que a profecia do Harley sugere que o mundo será dividido em dois e com isso declara Elbaf inimiga do Governo Mundial, transformando a profecia em previsão geopolítica concreta."
H-08,apoia,EV-0648-01,0.25,"Os Reis do Mar levaram Noah até a Sea Forest esperando consertá-la antes que chegue o tempo prometido, mostrando que a obra opera com um calendário combinado e não apenas com uma busca."
H-08,apoia,EV-1164-03,0.2,"Depois que Imu transformou Xebec em demônio em God Valley, Eris comentou que ainda era cedo demais: a mesma expressão aparece fora da boca de Roger, o que a torna condição do mundo e não piada de uma tripulação."
H-08,apoia,EV-1138-04,0.4,"No verso do Terceiro Mundo do Harley o dia esperado é escrito com o termo Dia da Promessa, o mesmo termo que a obra usa para o dia em que Noah cumprirá seu propósito: a ponte entre a profecia e a promessa deixa de ser suposição e passa a ser identidade de vocabulário."
H-08,apoia,EV-1190-05,0.35,"Gaban afirma que Luffy é o homem que sua geração inteira esperava e nomeia Rayleigh, Crocus, Shanks, Oden e Barba Branca: a espera por uma pessoa datada atravessa gerações, o que é o comportamento de um calendário e não de uma busca."
H-08,apoia,EV-1174-01,0.35,"Jarul recita que num dia de nevasca e trovão uma besta colossal cobrirá os céus e, junto com os Tambores da Libertação, o Deus do Sol aparecerá, e a cena cumpre a descrição enquanto ele fala: é a primeira vez na obra que uma predição da tradição de Elbaf se cumpre diante do leitor."
H-08,apoia,EV-1138-13,0.3,Os dois primeiros Mundos do Harley terminam dizendo que eles não puderam se reencontrar e o Terceiro diz que dessa vez certamente conseguirão: a estrutura é de um evento adiado duas vezes e marcado para a terceira.
H-08,apoia,EV-0641-02,0.3,"Neptune explica que séculos atrás foi feita uma promessa de manter o navio no fundo do mar e esperar, protegendo-o até que aquele dia chegue: é um compromisso datado, com um dia marcado, e não uma busca."
H-08,apoia,EV-0649-03,0.3,"Neptune diz que só quando chegar o tempo prometido o propósito do navio será conhecido, e que até lá a parte da Ilha dos Homens-Peixe na promessa é vigiar Noah e mantê-la em segurança: a obra sela o conteúdo até uma data, que é a forma de um evento agendado."
H-08,apoia,EV-0636-01,0.25,"Ao ver Noah se mover, Neptune entra em pânico e afirma que ninguém pode mover o navio e que até o dia que tem de vir ele não pode ser movido de forma alguma: a regra guardada é cronológica, ancorada num dia que tem de vir."
H-08,apoia,EV-0648-02,0.25,"Os Reis do Mar dizem a Shirahoshi que há muito tempo estavam esperando por ela: a espera atravessa o tempo e tem como objeto uma pessoa determinada, que é a metade desta hipótese que a evidência sustenta."
H-08,apoia,EV-0641-01,0.2,"Fukaboshi diz que a missão de proteger Noah começou séculos atrás e que tudo o que fizeram por ela se perderia se o navio esmagasse a ilha: a custódia é contada como missão contínua e datada, comportamento de quem cumpre um calendário."
H-08,apoia,EV-0636-02,0.2,"Noah é também chamada de Navio da Promessa, e Dia da Promessa é o termo do verso do Harley para o dia esperado: se o epíteto for do texto, o próprio nome do navio reforça a ponte lexical entre profecia e promessa."
H-08,apoia,EV-0972-04,0.35,"Oden afirmou que Wano e o mundo inteiro aguardam a chegada de uma figura ligada a um intervalo de oitocentos anos, e que quando ela aparecer Wano deve recebê-la e trabalhar ao lado dela: é espera datada por uma pessoa, com conduta combinada de antemão para o dia em que ela aparecer."
H-08,apoia,EV-0968-06,0.3,"Ao ser deixado em Wano pela tripulação, Oden declarou que abriria as fronteiras do país antes do dia em que Joy Boy aparecer: ele trata a aparição de Joy Boy como um dia que virá e organiza um preparativo político em função desse dia."
H-08,apoia,EV-0967-07,0.25,"Netuno, que ainda nem era casado, concluiu diante dos Piratas de Roger que sua futura filha seria a Poseidon, apoiado na previsão de Shyarly de que nasceria em breve uma sereia capaz de falar com os Reis do Mar: a obra opera com nascimento previsto e datado, que é a marca de um calendário e não de uma busca."
H-08,apoia,EV-0972-06,0.25,"Na carta deixada a Toki, Oden previu que em vinte anos estouraria uma guerra e que chegaria ao Novo Mundo uma força capaz de derrubar Kaidou: é previsão com prazo declarado que a obra depois cumpriu, o que eleva o valor probatório das predições datadas de que esta hipótese vive."
H-08,apoia,EV-0973-03,0.2,"Seguidores dos Kouzuki e o próprio Orochi entenderam a profecia de Toki como o anúncio de que, dali a vinte anos, nove sombras vingariam Oden, derrubariam Orochi e abririam as fronteiras de Wano: dentro da obra uma profecia com prazo de vinte anos é lida como agenda a cumprir, e não como metáfora."
H-08,apoia,EV-1055-01,0.2,"Abrir as fronteiras de Wano significa literalmente derrubar as muralhas montanhosas e liberar Pluton: o ato prometido para o dia esperado tem consequência física de escala global, que é o tipo de virada que esta hipótese atribui ao evento agendado."
H-08,contradiz,EV-1190-02,0.35,"Imu admite que Luffy é quem esperavam e diz que foi tolo por ter confundido várias coincidências com destino, o que é uma negação explícita da leitura de que há um evento agendado."
H-08,contradiz,EV-0301-01,0.3,"Diz-se que ao chegar a Laugh Tale levando as passagens dos Poneglyphs o Rio Poneglyph será revelado: a obra condiciona o que acontece lá à leitura prévia, e não à mera presença."
H-08,contradiz,EV-0818-01,0.25,"Os quatro Road Poneglyphs lidos em conjunto revelam quatro pontos cujo cruzamento indica a localização de Laugh Tale: chegar lá é resultado de decifrar texto, o que amarra o evento à leitura."
H-08,contradiz,EV-0966-01,0.2,"Roger especulou que o Governo Mundial proíbe a pesquisa dos Poneglyphs para que ninguém chegue a Laugh Tale e encontre o que está escondido lá: o verbo é encontrar uma coisa escondida, não disparar um evento."
H-08,contradiz,EV-1138-05,0.4,"O mesmo verso do Terceiro Mundo diz ouvir as vozes da lua crescente, e ouvir vozes é a expressão com que Roger descreve ler os Poneglyphs: o próprio texto profético amarra o desfecho à leitura, e não à mera chegada de quem quer que seja."
H-08,contradiz,EV-0649-04,0.4,"Neptune diz que um dia alguém viria cumprir em lugar de Joy Boy o que ele prometeu: o que a tradição espera é uma substituição de pessoa, e não a chegada de alguém a um lugar."
H-08,contradiz,EV-0626-01,0.3,"Otohime conta que a profecia diz que alguém aparecerá diante da princesa para guiá-la e ensiná-la a usar o poder: o gatilho profético da obra é alguém aparecer diante de outra pessoa, não alguém alcançar uma ilha."
H-08,contradiz,EV-0649-05,0.3,"Neptune responde que Joy Boy não tinha o poder de controlar Reis do Mar e que essa habilidade pertencia à princesa sereia daquela época: o que faltava era a co-presença de quem detém cada poder, e não a chegada de alguém a um lugar."
H-08,contradiz,EV-0648-04,0.25,"Os Reis do Mar explicam que a cada várias centenas de anos a rainha deles nasce em forma de sereia, por um motivo que eles próprios desconhecem: a recorrência é apresentada como fato inexplicado, e não como agendamento combinado por alguém."
H-08,contradiz,EV-0621-01,0.15,"Otohime declara em praça pública que o Reino Ryugu vai para a superfície e recolhe assinaturas para levar a intenção de migrar ao Levely: a via que a obra mostra para a ilha alcançar seu fim é campanha política, e não a espera de um dia agendado."
H-08,contradiz,EV-0301-03,0.25,"A inscrição assinada por Gol D. Roger diz que eles estiveram ali, encontraram o texto e seguiram a orientação dele: o avanço até o fim da rota se dá por achar e seguir texto, e não por chegar a um lugar com a pessoa certa."
H-08,contradiz,EV-1055-06,0.2,"Com a leitura do Road Poneglyph de Wano, os Chapéus de Palha passam a conhecer três dos quatro necessários para chegar a Laugh Tale: chegar depende de acumular leituras de Poneglyph, o que amarra o desfecho à decifração e não à mera presença de quem quer que seja."
H-09,apoia,EV-1164-02,0.4,"Rocks pergunta a Imu se ele teme mais Davy Jones ou Joy Boy e sugere que Imu vive aterrorizado com a possibilidade de alguém herdar a vontade de Jones e cumprir a promessa de que ele falava: há uma promessa antiga associada a Jones, separada da de Joy Boy."
H-09,apoia,EV-1155-01,0.35,"Descendentes de Davy D. Jones se estabeleceram em God Valley e o Governo Mundial, ao descobri-los, os incluiu como alvos na caçada dos Nobres Mundiais: perseguição a uma linhagem específica por oito séculos é política de sucessão, não de segurança."
H-09,apoia,EV-1179-01,0.35,"A ascendência Davy de Marshall D. Teach é conhecida por um número pequeno de pessoas, entre elas Imu: o soberano acompanha pessoalmente quem resta da linhagem, oito séculos depois."
H-09,apoia,EV-1190-04,0.3,Imu recorda ter ordenado pessoalmente o encobrimento do verdadeiro nome de Gol D. Roger por ele ser um D.: o soberano em pessoa administra quem pode ou não carregar a inicial.
H-09,apoia,EV-1164-01,0.25,"Rocks declara que Davy D. Jones foi certa vez Rei do Mundo e Imu nega furiosamente que Jones tenha sido rei de coisa alguma: a existência do título em disputa é afirmada dentro da obra, ainda que por boca hostil."
H-09,apoia,EV-1085-01,0.25,"Imu afirma que a Vontade de D. tem alguma relação com o Reino Antigo, ligando a inicial perseguida à soberania derrotada."
H-09,apoia,EV-0649-03,0.2,"Neptune diz que a parte da Ilha dos Homens-Peixe na promessa era vigiar Noah e mantê-la em segurança até chegar o tempo prometido: a promessa de Joy Boy tem objeto local e contraparte identificada, o que a distingue da promessa de trono que este enunciado atribui a Jones."
H-09,apoia,EV-0395-08,0.35,"Clover afirma que, antes de o Governo Mundial existir, o mundo era regido por um reino imenso, e que esse reino foi exterminado por um grupo que veio a se tornar o Governo Mundial: a obra afirma em cena uma soberania sobre o mundo anterior ao regime atual."
H-09,apoia,EV-0395-06,0.25,"Clover afirma que o povo que gravou os poneglyphs foi derrotado por um inimigo, e que esse inimigo seguiu existindo na história posterior: o poder de hoje é continuação do vencedor de uma guerra de sucessão, e não fundação a partir do vazio."
H-09,apoia,EV-0395-07,0.2,"O Governo Mundial foi formado ao fim do Século Perdido, isto é, no instante exato em que a soberania anterior some do registro: troca de regime simultânea ao apagamento é o rastro que uma usurpação deixa."
H-09,apoia,EV-1120-01,0.3,"Clou D. Clover e seu irmão mais velho carregavam o nome secreto D., o irmão foi morto por causa disso e Clover sobreviveu negando o parentesco: matar por portar a inicial é política de linhagem, que é o comportamento que esta hipótese atribui ao soberano."
H-09,apoia,EV-1120-02,0.25,"Clover afirma que se dedicou a desenterrar a verdade do mundo por não aceitar um mundo em que alguém é morto por causa do próprio nome: a perseguição ao nome é o fato que pede explicação, e sucessão disputada é uma explicação para ele."
H-09,apoia,EV-0968-05,0.3,"Roger se irritou por o Governo Mundial divulgar seu nome como Gold Roger, escondendo o Gol D., e disse compreender o motivo do encobrimento à luz do que a tripulação aprenderá em Laugh Tale: o regime administra quem pode carregar a inicial, e o próprio Roger liga esse encobrimento ao que o Século Perdido esconde."
H-09,apoia,EV-0821-01,0.2,"Zunesha foi sentenciada a caminhar eternamente e a só agir sob ordem, como punição por um crime cometido há 800 anos: uma sentença supõe uma autoridade com poder para julgar e punir no fim do Século Perdido, isto é, uma soberania em exercício antes do regime atual."
H-09,contradiz,EV-1181-01,0.45,"Imu descreve seu poder Omen como algo que reside em todas as coisas e cujos fundamentos são Corrupção, Pacto e inveja, formando o poder da Dominação: negar reinado alheio é doutrina declarada dele, e explica a fúria sem precisar de nenhum trono roubado."
H-09,contradiz,EV-1181-02,0.35,"Imu declara que a Dominação é a única bem-aventurança verdadeira do mundo e ao dizer isso recorda uma conversa com Joy Boy e grita o nome dele com raiva: a fúria de Imu aponta para Joy Boy, justamente quem este enunciado exclui do trono."
H-09,contradiz,EV-1084-01,0.3,"Lili, rainha de Arabasta no Século Perdido, foi a única dos vinte soberanos a não se mudar para Mary Geoise: a obra já tem vinte soberanos anteriores ao Governo Mundial, o que satisfaz 'houve rei antes' sem nenhuma usurpação de trono único."
H-09,contradiz,EV-1115-03,0.25,"A derrota de Joy Boy marcou o fim do Reino Antigo e, com ele, o fim do Século Perdido: a obra centra a transição de poder em Joy Boy e no Reino Antigo, sem mencionar rei do mundo anterior."
H-09,contradiz,EV-1114-01,0.2,"Vegapunk revela ao mundo que Joy Boy veio do Reino Antigo, foi o primeiro pirata da história e portava a fruta Nika: a revelação pública sobre o Século Perdido não menciona nenhum rei do mundo anterior."
H-09,contradiz,EV-1066-04,0.25,"Shaka afirma que o Governo Mundial tentou apagar todo conhecimento do Reino Antigo com a intenção de que absolutamente ninguém carregasse os ideais dele: o soberano apagado é nomeado como o Reino Antigo e o motivo declarado é doutrinário, o que dispensa o trono roubado deste enunciado."
H-09,contradiz,EV-0395-11,0.2,"Os Cinco Anciãos afirmam que a continuidade da pesquisa acabará revivendo as armas ancestrais, mesmo que os estudiosos não tenham essa intenção: a cúpula declara temer uma arma, e não a restauração de um trono anterior."
H-10,apoia,EV-1037-01,0.4,"Um dos Cinco Anciãos questiona se a fruta de Nika não seria apenas lenda, já que não desperta há séculos, e cogita que a própria fruta esteja fugindo deles: a hipótese é levantada dentro da obra pelos próprios perseguidores."
H-10,apoia,EV-1122-01,0.3,"Emet, o gigante de ferro que conheceu pessoalmente o Joy Boy original, chama Luffy de Joy Boy: uma testemunha do primeiro portador reconhece o segundo."
H-10,apoia,EV-1043-01,0.3,"Inconsciente, o batimento cardíaco de Luffy adquiriu as qualidades dos Tambores da Libertação e Zunesha declarou que Joy Boy tinha retornado: o despertar ocorre por conta própria, sem que o portador saiba o que carrega."
H-10,apoia,EV-1069-01,0.25,"Segundo Vegapunk, a existência de Nika só está registrada nos textos mais antigos, tendo sido apagada dos documentos modernos: um apagamento tão caro só se justifica se houver algo a temer no retorno dela."
H-10,apoia,EV-1175-03,0.45,"O confidente do Deus da Guerra, o esquilo Ratatoskr, transferiu-se para dentro da arma com o termo japonês usado para transmigração de almas e lá aguardou o retorno de seu mestre até reconhecer Loki: a obra estabelece como fato de mundo que o poder de uma fruta sobrevive ao portador, espera séculos e escolhe a quem se entrega."
H-10,apoia,EV-0648-04,0.15,"Os Reis do Mar explicam que a cada várias centenas de anos a rainha deles nasce em forma de sereia, por um motivo que eles próprios desconhecem: a obra já estabelece um poder que reaparece sozinho através dos séculos, sem que ninguém o administre."
H-10,apoia,EV-1046-01,0.3,"Zunesha comparou Luffy ao Joy Boy que conheceu no passado e afirmou que aquilo era o destino do garoto, depositando confiança nele: uma testemunha direta do primeiro portador lê a chegada do poder a Luffy como destino, e não como acaso."
H-10,apoia,EV-1040-01,0.2,"Joy Boy foi camarada de Zunesha durante sua vida: é o que qualifica Zunesha como testemunha direta do primeiro portador, e não como personagem repetindo lenda."
H-10,contradiz,EV-0001-01,0.5,"A fruta foi roubada de um navio do Governo pelos Piratas do Ruivo e um menino de sete anos a encontrou largada e a comeu por engano achando que era sobremesa: o trajeto documentado é roubo de terceiros mais engano infantil, sem nenhum ato da fruta."
H-10,contradiz,EV-1190-02,0.4,Imu admite que Luffy é quem esperavam e diz que foi tolo por ter confundido várias coincidências com destino: a obra coloca na boca do antagonista a advertência contra ler seleção onde houve acaso.
H-10,contradiz,EV-1125-02,0.25,Vegapunk nunca conseguiu replicar a energia antiga que move o robô Emet e a máquina só voltou à vida quando os Tambores da Libertação soaram: há rota evidenciada em que um artefato antigo reage a um evento sem querer nada.
H-10,contradiz,EV-1188-01,0.15,"Imu diz a Luffy que ele não é Joy Boy porque Joy Boy era muito mais forte: se a fruta escolhesse o herdeiro certo, a diferença de força entre os dois portadores seria estranha."
H-10,contradiz,EV-1014-01,0.2,"Kaidou afirma que Luffy não conseguiu se tornar o novo Joy Boy: se a fruta tivesse selecionado o portador certo, um fracasso declarado em cena em se tornar o novo Joy Boy seria estranho."
H-11,apoia,EV-0968-03,0.4,"Ao completar o feito Roger dá uma grande festa com a tripulação, trocando bebidas com todos: a reação registrada de quem chegou ao fim da rota foi partilhar, não guardar."
H-11,apoia,EV-1000-01,0.4,"O título do capítulo 1000 é o sake que preparei enquanto esperava por você, Luffy Chapéu de Palha: a obra nomeia um objeto comum preparado e guardado para ser oferecido a alguém que chegaria."
H-11,apoia,EV-0585-01,0.35,"Diante de Ace e Sabo, Luffy declara o objetivo que está no fim do seu sonho, o quadro corta antes da fala e os três trocam taças de sake: o gesto que a obra mostra no lugar da fala é a partilha."
H-11,apoia,EV-0967-04,0.3,"A canção Binks' Sake toca ao longo de todo o capítulo em que a tripulação de Roger chega a Laugh Tale, ligando o achado a uma canção de bebida partilhada."
H-11,apoia,EV-1121-01,0.25,"Vegapunk afirma que o destino do mundo será decidido por quem reivindicar o One Piece e que quem o encontrar pode não ser aquele que Joy Boy esperava: é o uso que se faz da coisa, e não a coisa, que decide."
H-11,apoia,EV-1138-03,0.3,"No texto do Terceiro Mundo do Harley o deus do sol dança e ri, o sol retorna trazendo uma nova manhã e diz-se que dessa vez eles certamente se encontrarão: o desfecho profetizado é um encontro, que é o que uma partilha produz."
H-11,apoia,EV-1138-11,0.35,"No painel do Terceiro Mundo a figura demoníaca segura o Sol enquanto todos os demais tentam libertá-lo: o objetivo desenhado da coalizão não é tomar posse de nada, é devolver ao mundo algo que estava retido."
H-11,apoia,EV-1138-14,0.35,"Ripley considera o mural um sonho de criança precisamente porque ele mostra várias raças diferentes trabalhando juntas, algo de que os gigantes não têm registro: a reunião entre povos é tratada dentro da obra como o que há de mais improvável."
H-11,apoia,EV-1138-09,0.25,"Todas as figuras do painel do Primeiro Mundo são humanas, sem nenhuma outra raça, ao contrário do Terceiro Mundo: o próprio mural narra a passagem da segregação para a reunião."
H-11,apoia,EV-0626-02,0.2,"Otohime diz que o mesmo poder da princesa sereia, se usado com intenção sinistra, pode causar grande destruição: é o uso e a intenção de quem tem a coisa que decidem o efeito, e não a coisa."
H-11,contradiz,EV-0972-02,0.35,"Os Piratas de Roger leram a mensagem e decidiram deixar tudo como estava por terem chegado cedo demais: se bastasse partilhar o objeto, nada impedia que o levassem e o partilhassem 25 anos depois."
H-11,contradiz,EV-0576-01,0.25,"Barba Branca declarou que achar o One Piece desencadeará uma guerra indizível que engolfará o mundo inteiro, efeito difícil de derivar da distribuição de um objeto comum."
H-11,contradiz,EV-0966-01,0.2,Roger especulou que o Governo Mundial proíbe a pesquisa dos Poneglyphs para que ninguém chegue a Laugh Tale e encontre o que está escondido lá: não se sustenta uma política de estado de 800 anos contra um objeto sem poder.
H-11,contradiz,EV-0967-08,0.3,"Oden registrou por escrito que, na ilha final, a tripulação descobriu as verdades sobre o Século Perdido, sobre o significado do D. e sobre as armas ancestrais: o que a ilha final entrega são verdades descobertas, e verdade não se reparte nem se consome como um objeto físico comum."
H-11,contradiz,EV-0968-04,0.3,"Foi o mundo, e não Roger, que deu o nome de One Piece ao conjunto de tudo o que ele obteve na viagem final: o nome cobre o conjunto de tudo o que foi obtido, e não um objeto único que se pudesse repartir."
